ID; Error; A; n; w_PIGM; w_opt; wlse_PIGM; wlse_opt; wlse_sig; Sum(w_opt) 
2603 ; 0 ; 9,1/3,1/4,2,4,6,3,7,1/6,2,4,7,1/9,1/9,1/7,6,2,2,1,1/4,7,5,9,1/4,1/9,1/6,1/5,3,4,1/8,8,1/7,9,1/5,2,1/7,1/9,1/6,1,7,1,1/5,9,2,4 ; 10 ; 0.1463,0.0373,0.206,0.0476,0.0728,0.0422,0.0972,0.0594,0.0435,0.2478 ; 0.1463,0.0373,0.206,0.0476,0.0728,0.0422,0.0972,0.0594,0.0435,0.2478 ; 6.088362 ; 6.088363 ; 6.0884 ; 1 
2604 ; 0 ; 1/3,9,9,2,9,1/3,1/2,1/7,1/5,1,1,1/5,1/2,1,7,3,1/2,1/3,5,5,9,2,1/6,9,1/9,1/3,1/9,7,1/5,1/6,3,1/4,2,5,2,2,1/8,1/4,1/8,3,1/7,1/5,7,1/3,7,2,7,1/8,3,3,1/6,8,1/6,3,1/5 ; 11 ; 0.099,0.1706,0.038,0.0555,0.0383,0.0582,0.0918,0.0708,0.0722,0.2515,0.054 ; 0.099,0.1706,0.038,0.0555,0.0383,0.0582,0.0918,0.0708,0.0722,0.2515,0.054 ; 6.162033 ; 6.162033 ; 6.162 ; 1 
2605 ; 0 ; 1/8,3,1,9,1/6,5,2,9,1/7,1/4,1,9,1,1/3,2,1,9,1/5,2,9,9,5,1/7,3,1/3,1/4,1/8,5,1/7,1/8,1/4,3,1/7,1/6,1/2,4,1/6,6,8,1/3,2,1/9,1/7,6,5,6,1/4,5,1/2,8,1/8,7,1/3,9,1/8,9,9,1/9,3,3,9,1/9,1/4,6,3,9,9,9,3,6,1/6,3,3,1/6,1/7,1/2,1/5,1 ; 13 ; 0.0848,0.1467,0.0492,0.0753,0.0895,0.1017,0.048,0.1334,0.0594,0.0458,0.0454,0.0697,0.0512 ; 0.0848,0.1467,0.0492,0.0753,0.0895,0.1017,0.048,0.1334,0.0594,0.0458,0.0454,0.0697,0.0512 ; 10.01254 ; 10.01254 ; 10.0125 ; 1 
2606 ; 0 ; 9,1/2,1/9,4,8,7,1/4,1/2,1/3,5,1,2,4,5,1/6,5,1/6,4,1/5,6,3,9,1/6,6,5,7,7,1/6,1,1/5,1/4,5,1/9,8,1,6,1/6,2,5,9,1/6,1/9,1/9,1/9,1/5,6,6,1/5,8,1,2,1,1/5,1/6,1,1/2,6,2,1/5,4,1/7,1/5,5,5,1,9,8,1/3,7,1/6,1/9,1/2,1/7,1/3,1/7,8,9,3,1/5,1/4,4,1/3,1/5,1/9,1/5,5,2,1,8,8,2,1/3,1/5,1/2,8,1/7,7,7,3,1/6,1/3,1/6,2,3,1/3 ; 15 ; 0.0986,0.0618,0.0642,0.0418,0.0612,0.075,0.0504,0.0571,0.1553,0.0583,0.0831,0.0389,0.0786,0.0404,0.0353 ; 0.0986,0.0618,0.0642,0.0418,0.0612,0.075,0.0504,0.0571,0.1553,0.0583,0.0831,0.0389,0.0786,0.0404,0.0353 ; 8.545156 ; 8.545156 ; 8.5452 ; 1 
2607 ; 0 ; 9,2,2,2,1,1/2,1/6,4,3,2,1/4,1/5,3,1/6,1/2,1/6,1/5,1/3,6,2,3,1/4,5,4,1/3,4,1/3,9,1/6,1/7,5,1/2,7,7,1/2,1/7,7,7,7,6,9,1/5,1/4,5,1/5,1/4,2,1,1,1/6,1/3,4,1/9,1,7,1/9,1/7,1/7,1/7,6,1/4,4,9,1/5,1/2,1/7,1/5,1/4,3,1,1/3,8,1/8,2,1/3,1/8,1/2,9,7,1/8,1/5,1/7,6,1/2,1/5,1/4,1/9,1/4,5,5,2 ; 14 ; 0.1158,0.0535,0.0721,0.1066,0.06,0.0341,0.0644,0.0554,0.0565,0.0684,0.0425,0.0632,0.1413,0.0662 ; 0.1158,0.0535,0.0721,0.1066,0.06,0.0341,0.0644,0.0554,0.0565,0.0684,0.0425,0.0632,0.1413,0.0662 ; 7.700124 ; 7.700124 ; 7.7001 ; 1 
2608 ; 0 ; 1/4,1/3,5,1/9,1/5,1/9,5,1,1/9,1/8,5,1/5,3,1/2,1,1/6,9,1,1/8,1/3,7,4,8,1/3,1/8,1/6,1/9,1 ; 8 ; 0.0621,0.072,0.2167,0.1215,0.1635,0.0674,0.0964,0.2004 ; 0.0621,0.072,0.2167,0.1215,0.1635,0.0674,0.0964,0.2004 ; 8.182803 ; 8.182803 ; 8.1828 ; 1 
2609 ; 0 ; 5,1/7,1/3,1/9,3,4,1/8,6,1/8,1/3,9,5,1/8,2,1/2,1/3,1/5,1/9,1/3,3,1/4,1/9,3,4,7,1/8,9,1/3,1/6,5,1/3,1/4,1,5,8,6,7,8,2,1/8,1/4,1/9,1/5,1/8,7,1/8,1/7,1/5,5,1/6,1/8,3,7,1/7,1/2,2,1/7,1/7,8,1/4,1/5,1/7,1/7,6,3,1,6,7,1/7,6,9,9,1/8,5,1/3,4,1/5,8,1/7,5,2,6,4,1/6,6,8,1,6,1/4,4,1 ; 14 ; 0.0438,0.0561,0.0956,0.0472,0.0419,0.0461,0.1628,0.09,0.066,0.0767,0.0924,0.0447,0.0758,0.061 ; 0.0438,0.0561,0.0956,0.0472,0.0419,0.0461,0.1628,0.09,0.066,0.0767,0.0924,0.0447,0.0758,0.061 ; 9.739734 ; 9.739734 ; 9.7397 ; 1 
2610 ; 0 ; 1/7,8,1,4,3,6,6,1/7,1/3,1/2,1/2,1/6,1/8,3,6,8,5,1/7,1/4,9,1/7,1,9,1/7,1/2,1/6,1/7,1/7,1,6,1/6,1/4,1/5,3,7,2,9,1/4,1/6,1/5,9,1/9,3,1/3,1/3,2,1/5,1/9,1/2,6,6,4,1/6,1/5,1/3,1/2,1/4,1,9,9,1/7,4,1/7,1/8,1,1/8 ; 12 ; 0.1052,0.0682,0.0562,0.1247,0.0527,0.0836,0.0728,0.0724,0.0987,0.1412,0.0411,0.0832 ; 0.1052,0.0682,0.0562,0.1247,0.0527,0.0836,0.0728,0.0724,0.0987,0.1412,0.0411,0.0832 ; 9.308874 ; 9.308874 ; 9.3089 ; 1 
2611 ; 0 ; 1/2,1/3,5,4,7,5,1/4,1,1/8,6,1/9,3,1/8,6,1/6,1/6,1,1/4,1/6,4,6,1/2,6,1/2,8,8,1/8,5,5,1/7,5,6,3,1/7,9,1/3,1/2,7,1,7,1,3,1/7,1/5,2 ; 10 ; 0.1273,0.0614,0.123,0.1008,0.0985,0.078,0.0956,0.0804,0.1092,0.1257 ; 0.1273,0.0614,0.123,0.1008,0.0985,0.078,0.0956,0.0804,0.1092,0.1257 ; 8.995299 ; 8.995299 ; 8.9953 ; 1 
2612 ; 0 ; 1/2,1/8,1/4,1/6,7,1/9,9,5,2,3,2,2,1/8,1,1/6,1/9,1/2,1/7,3,1,3,7,1/9,8,9,1/3,1/9,6,1/9,6,1/2,1,1/8,1,1/5,1/3,3,7,1/9,7,1/2,1/5,9,1/4,1/2,1/3,2,7,1,5,6,3,1/7,8,1/4,1/7,1,1/8,2,9,7,1/2,1/2,1/8,6,4,7,1/2,3,7,1/5,1/5,2,5,8,4,1/4,1,5,1,6,3,7,1/9,1/7,5,8,4,1/3,1/2,1 ; 14 ; 0.0504,0.0534,0.0481,0.0872,0.1521,0.0496,0.1126,0.0563,0.1075,0.0625,0.045,0.0652,0.0471,0.063 ; 0.0504,0.0534,0.0481,0.0872,0.1521,0.0496,0.1126,0.0563,0.1075,0.0625,0.045,0.0652,0.0471,0.063 ; 8.683049 ; 8.683049 ; 8.683 ; 1 
2613 ; 0 ; 1/2,7,5,8,8,1,9,1/9,5,1/5,1/4,9,1/8,1/8,3,1/3,1/6,1/4,1/8,1/6,1/6,7,1/7,1/4,1,1/4,8,1/7,6,9,1/6,4,4,1/8,1/3,4,1/9,1,9,1/4,2,3,1/7,3,1/8,1/2,2,1/4,1/6,8,1/5,2,1/3,7,1/5,1/8,5,7,1,1/6,4,3,1/2,4,1/9,1/4,7,8,1/2,1/4,1/2,1/8,1/6,1/6,4,1/8,1/6,6 ; 13 ; 0.1096,0.0399,0.0848,0.0685,0.0579,0.0741,0.0956,0.0656,0.0899,0.0482,0.1133,0.1044,0.0481 ; 0.1096,0.0399,0.0848,0.0685,0.0579,0.0741,0.0956,0.0656,0.0899,0.0482,0.1133,0.1044,0.0481 ; 9.782956 ; 9.782956 ; 9.783 ; 1 
2614 ; 0 ; 1,1/9,3,4,1/4,5,1,1/7,1/8,9 ; 5 ; 0.1111,0.3982,0.1028,0.2791,0.1088 ; 0.1111,0.3982,0.1028,0.2791,0.1088 ; 6.449271 ; 6.449271 ; 6.4493 ; 1 
2615 ; 0 ; 2,1/8,1/4,1,1/4,9,1,6,1/3,1/6,1/6,9,7,1/3,8,1/4,1/6,1/9,8,4,5,5,6,1/3,1/4,7,1/6,1/5,1/7,1/8,1,4,9,9,3,8,1/2,7,4,5,1/2,1/3,1/9,1/5,1/4 ; 10 ; 0.0974,0.087,0.1224,0.0692,0.0762,0.0918,0.0576,0.0402,0.0558,0.3025 ; 0.0974,0.087,0.1224,0.0692,0.0762,0.0918,0.0576,0.0402,0.0558,0.3025 ; 7.315444 ; 7.315444 ; 7.3154 ; 1 
2616 ; 0 ; 1/6,1/7,1/7,1/5,1/4,9,1,8,3,7,3,1/5,7,1/2,6,1/5,4,1/8,8,1/9,5 ; 7 ; 0.0474,0.5965,0.143,0.0588,0.0483,0.0609,0.0451 ; 0.0474,0.5965,0.143,0.0588,0.0483,0.0609,0.0451 ; 2.544242 ; 2.544242 ; 2.5442 ; 1 
2617 ; 0 ; 1,8,1/8 ; 3 ; 0.8137,0.0591,0.1272 ; 0.8137,0.0592,0.1271 ; 1.302372 ; 1.302372 ; 1.3024 ; 1 
2618 ; 0 ; 1/7,1/5,1/6,1/5,3,2,4,1/8,1/4,1,7,6,1/3,3,5,1/3,8,1/6,1/4,1/8,7,1/8,5,8,6,2,2,5,1,1/8,5,1/8,7,1/8,1/6,1/4,1/3,9,1/8,1/3,5,6,1/7,1/8,1/2 ; 10 ; 0.0526,0.3453,0.0587,0.0928,0.0511,0.0791,0.1212,0.0491,0.0749,0.0752 ; 0.0526,0.3453,0.0587,0.0928,0.0511,0.0791,0.1212,0.0491,0.0749,0.0752 ; 6.493446 ; 6.493446 ; 6.4934 ; 1 
2619 ; 0 ; 6,5,2,2,1,4 ; 4 ; 0.6289,0.1193,0.1374,0.1144 ; 0.6289,0.1193,0.1374,0.1144 ; 0.3505814 ; 0.3505814 ; 0.3506 ; 1 
2620 ; 0 ; 1/7,1/9,7,1,1/4,5,7,3,2,1/5 ; 5 ; 0.0615,0.2254,0.597,0.0427,0.0733 ; 0.0615,0.2254,0.597,0.0427,0.0733 ; 0.8042902 ; 0.8042902 ; 0.8043 ; 1 
2621 ; 0 ; 1/4,6,6,1,1/7,5,1,6,7,1/4,1/4,8,1/3,9,3,1/6,3,1/7,1/4,1/7,5,4,1,4,1/4,3,1/3,1/7,1/5,6,1/9,1/6,4,8,1/8,4,1/4,7,4,1/9,1/9,6,1/2,9,1/9,4,1/2,5,4,5,1/7,5,1/3,1/2,6 ; 11 ; 0.141,0.098,0.1053,0.0512,0.0691,0.0569,0.1258,0.104,0.0899,0.0691,0.0896 ; 0.141,0.098,0.1053,0.0512,0.0691,0.0569,0.1258,0.104,0.0899,0.0691,0.0896 ; 8.917693 ; 8.917693 ; 8.9177 ; 1 
2622 ; 0 ; 2,2,4,6,1/4,1/5,7,4,1/7,1/5,8,5,3,1,1/4 ; 6 ; 0.2918,0.0988,0.2114,0.1044,0.0615,0.2321 ; 0.2918,0.0988,0.2114,0.1044,0.0615,0.2321 ; 3.714132 ; 3.714132 ; 3.7141 ; 1 
2623 ; 0 ; 1/7,1/9,1/6,7,6,5,2,4,3,2,1/9,1/8,3,1,5 ; 6 ; 0.0464,0.544,0.0362,0.2438,0.0691,0.0605 ; 0.0464,0.544,0.0362,0.2438,0.0691,0.0605 ; 1.358833 ; 1.358833 ; 1.3588 ; 1 
2624 ; 0 ; 1/3,1/5,9 ; 3 ; 0.101,0.7995,0.0995 ; 0.101,0.7995,0.0995 ; 0.4542397 ; 0.4542397 ; 0.4542 ; 1 
2625 ; 0 ; 1/7,1/3,8 ; 3 ; 0.1013,0.7951,0.1036 ; 0.1013,0.7951,0.1036 ; 0.05327819 ; 0.05327819 ; 0.0533 ; 1 
2626 ; 0 ; 1/4,1/8,1,1/4,1/8,6,7,1/8,1/7,3,1/4,7,9,4,7 ; 6 ; 0.0893,0.1343,0.2448,0.2207,0.1794,0.1315 ; 0.0893,0.1343,0.2448,0.2207,0.1794,0.1315 ; 9.996892 ; 9.996892 ; 9.9969 ; 1 
2627 ; 0 ; 5,1,1/6 ; 3 ; 0.45,0.0829,0.4671 ; 0.45,0.0829,0.4671 ; 0.002839056 ; 0.002839056 ; 0.0028 ; 1 
2628 ; 0 ; 1/4,1/9,4,1/7,3,1/5,1/5,1/5,1/5,1/9,1/5,7,1/3,8,1/3,9,2,8,7,2,6,1/9,1/9,1/5,1,1/4,1,1/5,4,2,7,1/7,2,9,6,1/4 ; 9 ; 0.0397,0.0439,0.5313,0.0314,0.1268,0.0454,0.0751,0.0303,0.0762 ; 0.0397,0.0439,0.5313,0.0314,0.1268,0.0454,0.0751,0.0303,0.0762 ; 1.940287 ; 1.940287 ; 1.9403 ; 1 
2629 ; 0 ; 1/7,1/7,4,9,1/9,1/7,3,1/8,1/3,1/4,1/8,3,4,3,3,4,3,1/2,1/9,3,1/6,1/4,1,3,4,7,7,1/5,1/9,7,5,1/8,1/7,1/9,1/2,1/4,1/4,1/8,7,1/4,1/6,9,6,1/8,1/3,1,1/7,6,9,2,1/4,7,1/9,3,2,1/5,7,8,2,5,6,8,1/4,8,1/2,1/9,1/3,1,9,1/8,1/5,5,3,1/4,1/3,1/7,3,9,1/5,1/2,2,2,1,5,1/8,2,7,3,3,4,1/3,1/7,1/3,1/4,1/9,1,1/3,1/9,1/7,1,1/8,5,4,1/4,3 ; 15 ; 0.0384,0.0895,0.0365,0.0669,0.0646,0.0833,0.0417,0.0879,0.0868,0.0538,0.0754,0.076,0.0775,0.0749,0.0469 ; 0.0384,0.0895,0.0365,0.0669,0.0646,0.0833,0.0417,0.0879,0.0868,0.0538,0.0754,0.076,0.0775,0.0749,0.0469 ; 9.513621 ; 9.51362 ; 9.5136 ; 1 
2630 ; 0 ; 9,1/3,1/7 ; 3 ; 0.2659,0.0562,0.6778 ; 0.2659,0.0562,0.6778 ; 0.1568012 ; 0.1568012 ; 0.1568 ; 1 
2631 ; 0 ; 1/7,1/4,1/4,1/4,6,2,4,5,6,3,1/2,6,1/8,4,4,3,4,1/3,1/9,5,4,2,9,1/7,3,1/2,1/6,1,4,1/2,1/7,4,7,1/8,5,8,2,3,3,1/6,8,1/8,9,1/5,8,1/8,1/7,5,5,5,5,1/7,1,1/8,7,4,6,1/2,5,2,3,1/3,5,1/3,8,9 ; 12 ; 0.1143,0.0834,0.0907,0.1069,0.0641,0.0698,0.0696,0.121,0.0999,0.0594,0.079,0.0419 ; 0.1143,0.0834,0.0907,0.1069,0.0641,0.0698,0.0696,0.121,0.0999,0.0594,0.079,0.0419 ; 8.776908 ; 8.776908 ; 8.7769 ; 1 
2632 ; 0 ; 5,1/4,6,1/4,5,2,1/8,9,1/8,1/2,1/7,9,8,3,2,1/4,9,1/5,1/4,7,1/8,4,1/4,1/8,7,5,1/2,1/8,3,3,3,1/5,6,7,7,7 ; 9 ; 0.1391,0.1032,0.1182,0.1199,0.0877,0.1042,0.175,0.0912,0.0614 ; 0.1391,0.1032,0.1182,0.1199,0.0877,0.1042,0.175,0.0912,0.0614 ; 10.08863 ; 10.08863 ; 10.0886 ; 1 
2633 ; 0 ; 5,1/5,7,1/8,6,2,4,1/3,7,6,1/4,4,2,1/3,1/3,9,8,1/4,1/9,1/9,1/7,8,3,1/2,8,1/6,4,7,2,4,2,5,1/6,1/2,1/9,6,1/9,8,7,1/3,1,2,1/5,3,3,9,7,8,7,2,4,1/4,9,1/5,1,3,8,9,1/2,1/9,1/6,6,1/4,1/7,1/9,1/6,3,1/3,3,4,1/5,1/4,2,1/9,1,8,9,8 ; 13 ; 0.1125,0.0511,0.1449,0.0576,0.1425,0.0843,0.0472,0.0425,0.051,0.0554,0.1017,0.0546,0.0546 ; 0.1125,0.0511,0.1449,0.0576,0.1425,0.0843,0.0472,0.0425,0.051,0.0554,0.1017,0.0546,0.0546 ; 9.164677 ; 9.164677 ; 9.1647 ; 1 
2634 ; 0 ; 1,8,4,9,9,3,3,1/6,6,7,1/8,1/5,3,1/5,1/7,6,1/9,1/3,8,1/7,6,1/9,3,1/8,1/6,8,3,2,4,6,3,4,1/2,1/3,1/6,7,1/3,6,1/6,3,1/9,1/3,9,4,1/5,1,1/4,1/9,1/8,1/2,1/2,8,4,1/5,5,8,1/7,8,1/8,2,1/6,4,8,1/5,1/2,1/6,1/7,1/2,1/9,1,4,1/9,3,1/9,1/9,4,1/8,7 ; 13 ; 0.1165,0.0525,0.0809,0.0764,0.0576,0.0489,0.0807,0.056,0.053,0.0661,0.074,0.12,0.1173 ; 0.1165,0.0525,0.0809,0.0764,0.0576,0.0489,0.0807,0.056,0.053,0.0661,0.074,0.12,0.1173 ; 10.76271 ; 10.76271 ; 10.7627 ; 1 
2635 ; 0 ; 6,1/2,7,1/7,1,1/4,5,1/3,8,4,1/3,1/7,7,6,1/7,6,1/4,1/2,5,6,1/5,2,1/7,1/9,1/7,7,1,1,1/6,1/4,1/5,1/2,1/4,6,8,1/8,3,9,2,1/7,1/2,1/5,1/2,6,1/4,1/9,1/4,1,8,1/3,4,6,9,6,2,1/3,1/4,9,3,1,8,1/8,1,3,8,2,1/4,1/6,1/7,1/3,1/6,1/6,1/4,1/7,6,1/3,1/6,1/3,1/8,1/5,5,4,5,1/6,1/3,1/7,6,1/9,7,1/4,1/5 ; 14 ; 0.0876,0.0421,0.0593,0.0465,0.1413,0.0639,0.0903,0.0469,0.0403,0.0811,0.0597,0.0522,0.0549,0.1339 ; 0.0876,0.0421,0.0593,0.0465,0.1413,0.0639,0.0903,0.0469,0.0403,0.0811,0.0597,0.0522,0.0549,0.1339 ; 8.081893 ; 8.081893 ; 8.0819 ; 1 
2636 ; 0 ; 1/9,2,1,5,9,1/8,1/8,4,1/5,1/6 ; 5 ; 0.1412,0.1187,0.1118,0.2193,0.4089 ; 0.1412,0.1187,0.1118,0.2193,0.4089 ; 8.260686 ; 8.260686 ; 8.2607 ; 1 
2637 ; 0 ; 9,1/5,2,1/5,1/5,8,5,8,2,1,1,1/6,1/7,7,1/9,9,9,1/7,1/6,1/9,1/2,9,1/7,5,1/5,3,1/6,7,2,1/7,1/9,9,1,1/6,6,2 ; 9 ; 0.1895,0.0653,0.091,0.093,0.0649,0.1779,0.0957,0.0979,0.1247 ; 0.1895,0.0653,0.091,0.093,0.0649,0.1779,0.0957,0.0979,0.1247 ; 10.92401 ; 10.92401 ; 10.924 ; 1 
2638 ; 0 ; 1/2,1/6,1,1/4,1/6,1/3,9,1/7,1/7,3 ; 5 ; 0.0742,0.1144,0.0832,0.6615,0.0667 ; 0.0742,0.1144,0.0832,0.6615,0.0667 ; 2.122072 ; 2.122072 ; 2.1221 ; 1 
2639 ; 0 ; 1/7,2,1/8 ; 3 ; 0.1142,0.1479,0.7379 ; 0.1142,0.1479,0.7379 ; 2.951948 ; 2.951948 ; 2.9519 ; 1 
2640 ; 0 ; 1/8,1/3,8,6,3,6,1/7,8,1/2,1,1/8,5,1/7,1/7,7,9,1/6,1/4,5,1/4,8,1/2,1/8,1,1/4,6,5,1/7,8,1/2,9,8,2,1/8,1/3,1/2,7,6,7,2,4,1/8,1/9,7,1/9,1/7,1,1/2,2,1/3,1,3,1/3,1/9,7 ; 11 ; 0.1093,0.0744,0.1362,0.0743,0.1254,0.0513,0.0878,0.0669,0.0602,0.0979,0.1164 ; 0.1093,0.0744,0.1362,0.0743,0.1254,0.0513,0.0878,0.0669,0.0602,0.0979,0.1164 ; 10.39809 ; 10.39809 ; 10.3981 ; 1 
2641 ; 0 ; 1/5,1/9,6 ; 3 ; 0.0549,0.7926,0.1526 ; 0.0549,0.7926,0.1526 ; 0.4126933 ; 0.4126933 ; 0.4127 ; 1 
2642 ; 0 ; 1/7,9,1/6,3,1/7,1/7,1/5,6,5,1/4,1/2,6,7,1/7,1/7,1/8,1/2,9,1,1/7,1/8,8,2,8,1/4,1/3,1,3,1/6,7,7,1/6,2,2,1/3,2,1/4,8,1,1,1/9,1/8,1/8,5,3,5,5,1/3,1/5,1/9,8,8,1,9,2,2,1/5,1/2,1/7,2,4,1/4,1/4,5,1/5,1/9,9,5,1/8,1/3,2,1/2,7,1/8,1/7,1/7,5,3 ; 13 ; 0.0546,0.0469,0.0497,0.0486,0.0643,0.2919,0.0648,0.0479,0.0464,0.0453,0.0646,0.0709,0.1042 ; 0.0546,0.0469,0.0497,0.0486,0.0643,0.2919,0.0648,0.0479,0.0464,0.0453,0.0646,0.0709,0.1042 ; 7.406626 ; 7.406626 ; 7.4066 ; 1 
2643 ; 0 ; 1,1/6,4,1/7,1/5,1/8,1/8,9,3,6,1/6,9,5,7,1/8,8,1/9,2,1/5,3,7,1/7,1/7,8,6,5,8,1/7,1/8,3,1/2,1,5,9,7,5,3,1/2,1/3,8,1/8,1/4,7,1/4,8,9,6,1/5,1/4,1/5,1/4,1/3,1/7,1,7,6,1/9,3,1/6,1/7,1/3,6,3,1/3,3,1/5,1/9,3,1/5,1/3,1/8,5,1/4,3,9,7,9,8,4,1/6,5,1/6,8,9,1/4,6,8,7,5,9,1/2 ; 14 ; 0.0576,0.0585,0.0878,0.0979,0.0545,0.0716,0.0765,0.0967,0.1021,0.0695,0.089,0.07,0.031,0.0373 ; 0.0576,0.0585,0.0878,0.0979,0.0545,0.0716,0.0765,0.0967,0.1021,0.0695,0.089,0.07,0.031,0.0373 ; 10.74122 ; 10.74122 ; 10.7412 ; 1 
2644 ; 0 ; 1/5,3,6,1/5,8,8 ; 4 ; 0.2227,0.2529,0.4632,0.0612 ; 0.2227,0.2529,0.4632,0.0612 ; 3.030044 ; 3.030044 ; 3.03 ; 1 
2645 ; 0 ; 1/5,3,1/9,1/3,1/2,1/9,3,1/8,1/8,1/8,5,1/3,1/3,1/8,7,4,2,1/6,1/2,1/7,9,1/8,1/9,7,1/4,1/9,7,1/9,2,9,1/3,4,3,1,8,1/6,1/8,1/4,1/3,5,1/4,8,3,3,1/4,1/4,6,1/7,1/2,6,9,4,4,1/9,1/9,1/3,1/2,8,1/5,1/8,1,1/5,1/8,5,9,2 ; 12 ; 0.033,0.0697,0.0412,0.0892,0.2123,0.062,0.0567,0.0717,0.0447,0.1405,0.1424,0.0366 ; 0.033,0.0697,0.0412,0.0892,0.2123,0.062,0.0567,0.0717,0.0447,0.1405,0.1424,0.0366 ; 7.53434 ; 7.53434 ; 7.5343 ; 1 
2646 ; 0 ; 1/4,3,1/8,1/7,1/2,1 ; 4 ; 0.085,0.0837,0.2438,0.5875 ; 0.085,0.0837,0.2438,0.5875 ; 1.119029 ; 1.119029 ; 1.119 ; 1 
2647 ; 0 ; 1/4,6,8,1/4,2,1/5,3,1/5,1/7,1/4,1/6,5,2,8,7,3,3,9,1/5,6,9,9,2,7,1/9,3,1/4,8,1/6,1/9,6,1/7,1/8,1,3,1/7,2,6,1/3,5,9,1/2,1/4,4,7,5,4,1/6,3,1/5,1,8,1,2,1/4,3,1/6,6,9,9,9,3,1/6,1/8,3,1/7,1/3,1/5,6,8,5,6,1/2,1/6,1/5,6,6,9,5,1/7,9,5,7,1/8,1/3,2,1/9,2,1/9,1/8,2 ; 14 ; 0.0703,0.123,0.0375,0.087,0.1207,0.0671,0.0605,0.1162,0.0538,0.0471,0.0357,0.0424,0.0748,0.0641 ; 0.0703,0.123,0.0375,0.087,0.1207,0.0671,0.0605,0.1162,0.0538,0.0471,0.0357,0.0424,0.0748,0.0641 ; 9.397345 ; 9.397346 ; 9.3973 ; 1 
2648 ; 0 ; 7,2,1/9,1/7,1/5,5,7,1/8,7,1/9,1/8,1/6,1/5,1/4,1/4,3,1,1/2,1,1/7,1/8,1/4,1/7,7,1/9,4,1/9,6,1/4,8,6,1/8,1/8,8,1/3,7,1/7,1/5,5,1/7,1/9,1/8,1/8,8,9,5,1,6,1/9,2,3,1/3,1/2,1/7,1,1/2,1/6,7,8,1/5,1/4,1/9,5,1/8,2,1/8 ; 12 ; 0.0502,0.0609,0.0712,0.082,0.0627,0.1014,0.1205,0.0852,0.1194,0.0699,0.0872,0.0893 ; 0.0502,0.0609,0.0712,0.082,0.0627,0.1014,0.1205,0.0852,0.1194,0.0699,0.0872,0.0893 ; 12.28423 ; 12.28423 ; 12.2842 ; 1 
2649 ; 0 ; 6,3,1/7,2,6,2,1/4,1/5,1/2,2 ; 5 ; 0.1159,0.0889,0.0703,0.4414,0.2835 ; 0.1159,0.0889,0.0703,0.4414,0.2835 ; 1.544079 ; 1.544079 ; 1.5441 ; 1 
2650 ; 0 ; 6,1/5,4,1/8,7,8 ; 4 ; 0.1652,0.0722,0.7077,0.0549 ; 0.1652,0.0722,0.7077,0.0549 ; 0.2813214 ; 0.2813214 ; 0.2813 ; 1 
2651 ; 0 ; 1/4,1/8,1/4,1/3,1/9,1/8,1/5,1/5,9,1/6,1,1/4,1/4,3,1/2,1/9,8,5,1/5,1/7,1/7,1/6,1/5,5,1/6,1/6,9,3 ; 8 ; 0.0472,0.1076,0.1357,0.0505,0.1622,0.2676,0.1262,0.103 ; 0.0472,0.1076,0.1357,0.0505,0.1622,0.2676,0.1262,0.103 ; 7.000274 ; 7.000274 ; 7.0003 ; 1 
2652 ; 0 ; 1/3,1,1/2,1/2,7,2,1/8,5,7,1,1/7,1/4,1/3,3,9 ; 6 ; 0.2197,0.1142,0.0773,0.3442,0.2004,0.0442 ; 0.2197,0.1142,0.0773,0.3442,0.2004,0.0442 ; 2.845557 ; 2.845557 ; 2.8456 ; 1 
2653 ; 0 ; 8,4,5,1/3,1/6,5,1/8,6,1/7,1/7 ; 5 ; 0.2428,0.0459,0.0869,0.0463,0.578 ; 0.2428,0.0459,0.0869,0.0463,0.578 ; 0.2743555 ; 0.2743555 ; 0.2744 ; 1 
2654 ; 0 ; 3,1,1/2,4,1/9,1/3,1,1/3,5,1/4,4,1/6,1/2,9,8,1/7,1/8,3,5,7,7,4,7,1/5,6,1/8,7,1/5,1/4,1/8,3,1/9,6,8,1/8,2,3,6,1/8,7,4,1/6,4,1/8,1/2,6,1/6,1/9,1/6,4,8,5,5,1,7,1/2,1/5,1/3,3,1/3,1/2,6,1/9,8,1/6,1/9,1/9,4,1/6,1/9,4,1/9,7,4,1/5,1/6,4,7,1/3,1/9,6,6,1/6,1/6,1/3,1/6,2,1/3,3,8,9 ; 14 ; 0.0767,0.0917,0.0379,0.0572,0.0579,0.0794,0.0442,0.0493,0.0692,0.0583,0.0478,0.0692,0.2125,0.0485 ; 0.0767,0.0917,0.0379,0.0572,0.0579,0.0794,0.0442,0.0493,0.0692,0.0583,0.0478,0.0692,0.2125,0.0485 ; 9.167582 ; 9.167582 ; 9.1676 ; 1 
